"gwno","country","minyear1","maxyear1","minyear2","maxyear2","ccode","ifscode","ifs","gwabbrev","gwname"
2,"usa",-9999,9999,-9999,9999,2,111,"USA","USA","United States of America"
2,"unitedstates",-9999,9999,-9999,9999,2,111,"USA","USA","United States of America"
2,"unitedstatesofamerica",-9999,9999,-9999,9999,2,111,"USA","USA","United States of America"
2,"unitedstatesamerica",-9999,9999,-9999,9999,2,111,"USA","USA","United States of America"
2,"us",-9999,9999,-9999,9999,2,111,"USA","USA","United States of America"
20,"can",-9999,9999,-9999,9999,20,156,"CAN","CAN","Canada"
20,"canada",-9999,9999,-9999,9999,20,156,"CAN","CAN","Canada"
31,"bahamas",-9999,9999,-9999,9999,31,313,"BHS","BHM","Bahamas"
31,"bahamasthe",-9999,9999,-9999,9999,31,313,"BHS","BHM","Bahamas"
31,"bhs",-9999,9999,-9999,9999,31,313,"BHS","BHM","Bahamas"
31,"thebahamas",-9999,9999,-9999,9999,31,313,"BHS","BHM","Bahamas"
40,"cub",-9999,9999,-9999,9999,40,928,"CUB","CUB","Cuba"
40,"cuba",-9999,9999,-9999,9999,40,928,"CUB","CUB","Cuba"
41,"haiti",-9999,9999,-9999,9999,41,263,"HTI","HAI","Haiti"
41,"hti",-9999,9999,-9999,9999,41,263,"HTI","HAI","Haiti"
42,"dom",-9999,9999,-9999,9999,42,243,"DOM","DOM","Dominican Republic"
42,"domrep",-9999,9999,-9999,9999,42,243,"DOM","DOM","Dominican Republic"
42,"dominrep",-9999,9999,-9999,9999,42,243,"DOM","DOM","Dominican Republic"
42,"dominicanrep",-9999,9999,-9999,9999,42,243,"DOM","DOM","Dominican Republic"
42,"dominicanrepublic",-9999,9999,-9999,9999,42,243,"DOM","DOM","Dominican Republic"
42,"santodomin",-9999,9999,-9999,9999,42,243,"DOM","DOM","Dominican Republic"
51,"jam",-9999,9999,-9999,9999,51,343,"JAM","JAM","Jamaica"
51,"jamaica",-9999,9999,-9999,9999,51,343,"JAM","JAM","Jamaica"
52,"trintobag",-9999,9999,-9999,9999,52,369,"TTO","TRI","Trinidad and Tobago"
52,"trintob",-9999,9999,-9999,9999,52,369,"TTO","TRI","Trinidad and Tobago"
52,"trinidad",-9999,9999,-9999,9999,52,369,"TTO","TRI","Trinidad and Tobago"
52,"trinidadt",-9999,9999,-9999,9999,52,369,"TTO","TRI","Trinidad and Tobago"
52,"trinidadtob",-9999,9999,-9999,9999,52,369,"TTO","TRI","Trinidad and Tobago"
52,"trinidadtobago",-9999,9999,-9999,9999,52,369,"TTO","TRI","Trinidad and Tobago"
52,"trinidadandtobago",-9999,9999,-9999,9999,52,369,"TTO","TRI","Trinidad and Tobago"
52,"tto",-9999,9999,-9999,9999,52,369,"TTO","TRI","Trinidad and Tobago"
53,"barbados",-9999,9999,-9999,9999,53,316,"BRB","BAR","Barbados"
54,"dma",-9999,9999,-9999,9999,54,321,"DMA","DMA","Dominica"
54,"dominica",-9999,9999,-9999,9999,54,321,"DMA","DMA","Dominica"
55,"grenada",-9999,9999,-9999,9999,55,328,"GRD","GRN","Grenada"
56,"lca",-9999,9999,-9999,9999,56,362,"LCA","SLU","Saint Lucia"
56,"saintlucia",-9999,9999,-9999,9999,56,362,"LCA","SLU","Saint Lucia"
56,"stlucia",-9999,9999,-9999,9999,56,362,"LCA","SLU","Saint Lucia"
57,"saintvincent",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"saintvincentgrenadines",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"saintvincentthegrenadines",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"saintvincentandgrenadines",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"saintvincentandthegrenadines",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"sstvincentgrens",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"stvincent",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"stvincentandthegrenadines",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"stving",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"stvincentgrenadine",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"stvincentgrenadines",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"stvincentgrens",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"stvincentandgrenadines",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"stvincentand",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
57,"vct",-9999,9999,-9999,9999,57,364,"VCT","SVG","Saint Vincent and the Grenadines"
58,"antigua",-9999,9999,-9999,9999,58,311,"ATG","AAB","Antigua & Barbuda"
58,"antiguab",-9999,9999,-9999,9999,58,311,"ATG","AAB","Antigua & Barbuda"
58,"antiguabarbuda",-9999,9999,-9999,9999,58,311,"ATG","AAB","Antigua & Barbuda"
58,"antiguaandbarbuda",-9999,9999,-9999,9999,58,311,"ATG","AAB","Antigua & Barbuda"
58,"atg",-9999,9999,-9999,9999,58,311,"ATG","AAB","Antigua & Barbuda"
60,"kna",-9999,9999,-9999,9999,60,361,"KNA","SKN","Saint Kitts and Nevis"
60,"saintkittsnevis",-9999,9999,-9999,9999,60,361,"KNA","SKN","Saint Kitts and Nevis"
60,"saintkittsandnevis",-9999,9999,-9999,9999,60,361,"KNA","SKN","Saint Kitts and Nevis"
60,"stkittnev",-9999,9999,-9999,9999,60,361,"KNA","SKN","Saint Kitts and Nevis"
60,"stkittsandnevis",-9999,9999,-9999,9999,60,361,"KNA","SKN","Saint Kitts and Nevis"
60,"stkittsn",-9999,9999,-9999,9999,60,361,"KNA","SKN","Saint Kitts and Nevis"
60,"stkittsnevis",-9999,9999,-9999,9999,60,361,"KNA","SKN","Saint Kitts and Nevis"
70,"mex",-9999,9999,-9999,9999,70,273,"MEX","MEX","Mexico"
70,"mexico",-9999,9999,-9999,9999,70,273,"MEX","MEX","Mexico"
70,"unitedmexicanstates",-9999,9999,-9999,9999,70,273,"MEX","MEX","Mexico"
80,"belize",-9999,9999,-9999,9999,80,339,"BLZ","BLZ","Belize"
80,"blz",-9999,9999,-9999,9999,80,339,"BLZ","BLZ","Belize"
89,"unitedprovinceca",-9999,9999,-9999,9999,NA,NA,NA,"UPC","United Provinces of Central America"
89,"unitedprovincesofcentralamerica",-9999,9999,-9999,9999,NA,NA,NA,"UPC","United Provinces of Central America"
90,"gtm",-9999,9999,-9999,9999,90,258,"GTM","GUA","Guatemala"
90,"guatemala",-9999,9999,-9999,9999,90,258,"GTM","GUA","Guatemala"
91,"hnd",-9999,9999,-9999,9999,91,268,"HND","HON","Honduras"
91,"honduras",-9999,9999,-9999,9999,91,268,"HND","HON","Honduras"
92,"elsalv",-9999,9999,-9999,9999,92,253,"SLV","SAL","El Salvador"
92,"elsalvador",-9999,9999,-9999,9999,92,253,"SLV","SAL","El Salvador"
92,"salvador",-9999,9999,-9999,9999,92,253,"SLV","SAL","El Salvador"
92,"slv",-9999,9999,-9999,9999,92,253,"SLV","SAL","El Salvador"
93,"nic",-9999,9999,-9999,9999,93,278,"NIC","NIC","Nicaragua"
93,"nicaragua",-9999,9999,-9999,9999,93,278,"NIC","NIC","Nicaragua"
94,"costrica",-9999,9999,-9999,9999,94,238,"CRI","COS","Costa Rica"
94,"costarica",-9999,9999,-9999,9999,94,238,"CRI","COS","Costa Rica"
95,"pan",-9999,9999,-9999,9999,95,283,"PAN","PAN","Panama"
95,"panama",-9999,9999,-9999,9999,95,283,"PAN","PAN","Panama"
95,"panamacanalzone",-9999,9999,-9999,9999,95,283,"PAN","PAN","Panama"
95,"panamaexcludingcanalzone",-9999,9999,-9999,9999,95,283,"PAN","PAN","Panama"
99,"grancolombia",-9999,9999,-9999,9999,NA,NA,NA,"GCL","Great Colombia"
99,"greatcolombia",-9999,9999,-9999,9999,NA,NA,NA,"GCL","Great Colombia"
100,"col",-9999,9999,-9999,9999,100,233,"COL","COL","Colombia"
100,"colombia",-9999,9999,-9999,9999,100,233,"COL","COL","Colombia"
100,"columbia",-9999,9999,-9999,9999,100,233,"COL","COL","Colombia"
101,"ven",-9999,9999,-9999,9999,101,299,"VEN","VEN","Venezuela"
101,"venezuela",-9999,9999,-9999,9999,101,299,"VEN","VEN","Venezuela"
101,"venezuelabolivarianrepof",-9999,9999,-9999,9999,101,299,"VEN","VEN","Venezuela"
101,"venezuelabolivarianrepublicof",-9999,9999,-9999,9999,101,299,"VEN","VEN","Venezuela"
101,"venezuelarb",-9999,9999,-9999,9999,101,299,"VEN","VEN","Venezuela"
101,"venezuelarepblicabolivarianade",-9999,9999,-9999,9999,101,299,"VEN","VEN","Venezuela"
101,"venezuelarepbol",-9999,9999,-9999,9999,101,299,"VEN","VEN","Venezuela"
101,"venezuelarepublicabolivarianade",-9999,9999,-9999,9999,101,299,"VEN","VEN","Venezuela"
110,"guy",-9999,9999,-9999,9999,110,336,"GUY","GUY","Guyana"
